Source RAh RAm RAs DE- DEd DEm DEs Lbol Tbol Class RdiskA e_RdiskA RdiskV e_RdiskV MdiskA e_MdiskA MdiskV e_MdiskV QALMA QVLA SpIdxAV e_SpIdxAV SpIdxV e_SpIdxV Flag RA_deg DEC_deg FieldA A_Flux A_e_Flux A_PFlux A_RMS A_dBmaj A_dBmin A_dPA A_RA_deg A_DEC_deg DistanceA FieldV V_Flux V_e_Flux V_PFlux V_RMS V_dBmaj V_dBmin V_dPA V_RA_deg V_DEC_deg DistanceV
HOPS-119 5 39 50.689 - 7 23 30.58 1.0 573.8 Flat 60.8 19.5 "" "" 2.8 0.7 "" "" 203.83 "" "" "" "" "" dn 84.96120416666668 -7.391827777777778 HOPS-119 2.491 0.628 1.367 0.21 0.18 0.06 67.5 84.96120416666668 -7.391827777777778 402.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-12-A 5 35 8.631 - 5 55 54.64 6.3 42.0 0 20.5 10.0 "" "" 20.1 0.4 142.4 11.0 21.18 "" 2.3 0.07 1.3 0.65 dd 83.7859625 -5.931844444444445 HOPS-12 33.165 0.728 27.254 0.34 0.06 0.05 103.3 83.7859625 -5.931844444444445 388.6 HOPS-12 0.168 0.013 0.165 7.2 0.0 0.0 0.0 83.78596666666665 -5.931847222222222 388.6
HOPS-12-B-A 5 35 8.945 - 5 55 55.03 6.3 42.0 0 30.7 10.0 17.8 10.0 36.4 0.7 401.7 14.6 10.71 1.08 2.1 0.06 2.0 0.31 dd 83.78727083333334 -5.931952777777778 HOPS-12 59.902 0.876 39.274 0.43 0.09 0.07 76.6 83.78727083333334 -5.931952777777778 388.6 HOPS-12 0.474 0.017 0.348 7.28 0.05 0.05 148.7 83.787275 -5.931955555555556 388.6
HOPS-12-B-B 5 35 8.955 - 5 55 54.88 6.3 42.0 0 28.0 10.0 17.8 10.0 25.7 0.6 387.3 13.7 15.46 1.12 1.9 0.06 1.9 0.31 dd 83.7873125 -5.931911111111112 HOPS-12 42.345 0.821 29.598 0.43 0.09 0.06 82.5 83.7873125 -5.931911111111112 388.6 HOPS-12 0.457 0.016 0.349 7.28 0.05 0.03 66.6 83.7873125 -5.931913888888889 388.6
HOPS-120 5 39 34.324 - 7 26 11.29 0.3 455.3 Flat 55.4 13.6 "" "" 5.5 1.1 "" "" 155.11 "" "" "" "" "" dn 84.89301666666667 -7.436469444444445 HOPS-120 3.39 0.662 1.935 0.2 0.16 0.1 93.5 84.89301666666667 -7.436469444444445 400.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-121 "" "" 0.0 "" "" "" 0.0 0.3 34.8 0 "" "" "" "" 1.1 "" "" "" "" "" "" "" "" "" un "" "" HOPS-121 "" "" "" 0.21 "" "" "" "" "" 399.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-122 5 39 45.139 - 7 19 13.43 0.0 246.0 I 91.1 13.9 "" "" 30.9 4.4 "" "" 60.67 "" "" "" "" "" dn 84.93807916666667 -7.320397222222222 HOPS-122 7.616 1.084 2.071 0.22 0.27 0.11 9.9 84.93807916666667 -7.320397222222222 400.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-123 5 39 33.286 - 7 22 57.45 0.4 50.1 0 86.8 10.0 54.9 10.0 130.8 3.1 362.8 40.6 5.33 2.02 2.6 0.08 2.7 1.01 dd 84.88869166666667 -7.382625 HOPS-123 88.228 2.069 21.619 0.37 0.26 0.15 28.8 84.88869166666667 -7.382625 399.0 HOPS-121-123 0.198 0.022 0.105 7.46 0.16 0.05 23.2 84.88869166666667 -7.382625 399.0
HOPS-124 5 39 19.911 - 7 26 11.23 52.3 44.8 0 119.3 10.0 42.6 10.0 438.0 8.9 756.5 16.1 0.35 0.29 2.9 0.06 1.0 0.17 dd 84.83296250000001 -7.436452777777778 HOPS-124 1232.89 25.038 130.116 3.04 0.35 0.25 3.3 84.83296250000001 -7.436452777777778 398.0 HOPS-124 1.454 0.031 0.674 7.91 0.13 0.09 73.7 84.83295833333334 -7.436455555555556 398.0
HOPS-125 5 39 19.54 - 7 26 17.13 8.6 110.5 Flat 23.0 10.0 30.1 10.0 7.8 1.2 201.8 16.1 48.61 1.81 1.7 0.09 1.4 0.66 dd 84.83141666666667 -7.438091666666667 HOPS-125 13.423 1.951 10.26 0.89 0.07 0.06 133.4 84.83141666666667 -7.438091666666667 398.0 HOPS-124 0.246 0.019 0.168 8.15 0.09 0.04 20.3 84.8314125 -7.438088888888889 398.0
HOPS-127 5 39 0.972 - 7 20 22.55 0.3 133.3 I 15.4 10.0 "" "" 13.2 0.7 "" "" 81.12 "" "" "" "" "" dn 84.75405 -7.339597222222222 HOPS-127 8.925 0.455 7.882 0.23 0.05 0.03 36.7 84.75405 -7.339597222222222 394.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-128-A 5 38 52.015 - 7 21 5.87 0.7 469.2 Flat 33.4 10.0 "" "" 16.7 0.7 "" "" 43.24 "" "" "" "" "" dn 84.71672916666665 -7.3516305555555554 HOPS-128 14.175 0.58 9.148 0.23 0.1 0.05 84.7 84.71672916666665 -7.3516305555555554 393.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-128-B 5 38 52.378 - 7 21 9.32 0.7 469.2 Flat 27.1 10.0 "" "" 13.4 0.9 "" "" 56.58 "" "" "" "" "" dn 84.71824166666666 -7.352588888888889 HOPS-128 11.367 0.544 7.892 0.33 0.08 0.06 103.7 84.71824166666666 -7.352588888888889 393.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-129 5 39 11.868 - 7 10 34.88 1.5 191.3 Flat 32.1 10.0 "" "" 52.0 1.0 "" "" 11.27 "" "" "" "" "" dn 84.79945000000001 -7.176355555555556 HOPS-129 54.864 1.018 34.391 0.39 0.1 0.06 44.5 84.79945000000001 -7.176355555555556 393.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-13 5 35 24.581 - 5 55 33.74 1.0 383.6 Flat 62.4 13.9 "" "" 4.1 0.7 "" "" 138.51 "" "" "" "" "" dn 83.85242083333333 -5.926038888888889 HOPS-13 3.903 0.702 1.67 0.2 0.19 0.09 30.7 83.85242083333333 -5.926038888888889 388.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-130 5 39 2.979 - 7 12 52.2 1.3 156.7 I 153.0 10.0 "" "" 167.6 3.5 "" "" 2.42 "" "" "" "" "" dn 84.7624125 -7.2145 HOPS-130 170.738 3.632 29.644 0.5 0.46 0.15 174.4 84.7624125 -7.2145 393.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-131 5 39 7.579 - 7 10 52.22 0.1 82.3 I 68.2 10.0 "" "" 31.9 1.9 52.6 "" 32.24 "" "" "" "" "" du 84.78157916666667 -7.181172222222223 HOPS-131 16.002 0.953 5.069 0.23 0.2 0.1 12.1 84.78157916666667 -7.181172222222223 393.4 HOPS-133 "" "" "" 10.71 "" "" "" 84.78157916666667 -7.181172222222223 393.1
HOPS-132 5 39 5.371 - 7 11 5.17 1.5 616.3 Flat 13.0 10.0 9.0 10.0 7.8 0.4 131.1 13.3 90.53 5.09 1.9 0.07 4.2 0.66 dd 84.77237916666667 -7.184769444444445 HOPS-132 8.34 0.438 7.737 0.23 0.04 0.02 122.9 84.77237916666667 -7.184769444444445 393.2 HOPS-133 0.105 0.008 0.084 10.42 0.03 0.02 30.9 84.77238333333334 -7.184769444444445 393.1
HOPS-133 5 39 5.834 - 7 10 39.24 2.9 74.6 I 33.1 10.0 31.1 10.0 11.2 0.5 160.3 23.2 42.53 2.99 2.0 0.09 0.6 1.23 dd 84.77430833333334 -7.177566666666667 HOPS-133 14.484 0.585 9.801 0.24 0.1 0.04 6.3 84.77430833333334 -7.177566666666667 393.1 HOPS-133 0.152 0.022 0.084 7.8 0.09 0.07 39.2 84.77430416666667 -7.177580555555556 393.1
HOPS-134 5 38 42.791 - 7 12 43.82 6.7 781.9 Flat 18.6 10.0 "" "" 22.9 0.4 "" "" 18.6 "" "" "" "" "" dn 84.67829583333332 -7.212172222222223 HOPS-134 38.036 0.719 29.811 0.33 0.06 0.05 20.2 84.67829583333332 -7.212172222222223 391.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-135 5 38 45.328 - 7 10 56.04 1.0 130.3 I 36.5 10.0 "" "" 52.1 1.0 "" "" 12.3 "" "" "" "" "" dn 84.68886666666666 -7.1822333333333335 HOPS-135 49.451 0.98 29.21 0.36 0.11 0.06 24.8 84.68886666666666 -7.1822333333333335 391.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-136 5 38 46.529 - 7 5 37.41 0.6 161.7 I 398.1 15.3 "" "" 90.3 3.0 "" "" 4.1 "" "" "" "" "" dn 84.69387083333334 -7.093725 HOPS-136 73.802 2.461 4.732 0.26 1.2 0.11 113.8 84.69387083333334 -7.093725 390.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-137 "" "" 0.0 "" "" "" 0.0 0.1 43.7 0 "" "" "" "" 1.2 "" "" "" "" "" "" "" "" "" un "" "" HOPS-137 "" "" "" 0.2 "" "" "" "" "" 390.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-138-A 5 38 48.317 - 7 2 43.68 0.1 42.8 0 48.1 10.0 "" "" 10.7 1.4 "" "" 117.36 "" "" "" "" "" dn 84.70132083333333 -7.045466666666667 HOPS-138 4.868 0.626 2.625 0.21 0.14 0.08 78.6 84.70132083333333 -7.045466666666667 390.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-138-B 5 38 48.338 - 7 2 43.68 0.1 42.8 0 "" "" "" "" 2.1 0.4 "" "" "" "" "" "" "" "" dn 84.70140833333332 -7.045466666666667 HOPS-138 0.965 0.193 0.919 0.21 0.0 0.0 0.0 84.70140833333332 -7.045466666666667 390.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-139 5 38 49.626 - 7 1 17.63 2.5 84.3 I 41.1 10.0 "" "" 16.4 0.6 "" "" 28.93 "" "" "" "" "" dn 84.706775 -7.021563888888889 HOPS-139 20.503 0.698 11.652 0.25 0.12 0.05 28.7 84.706775 -7.021563888888889 390.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-140-A 5 38 45.717 - 7 1 58.54 0.5 137.2 I 38.1 10.0 "" "" 41.9 2.0 "" "" 18.55 "" "" "" "" "" dn 84.69048749999999 -7.032927777777778 HOPS-140 32.595 0.67 17.722 0.56 0.12 0.08 178.6 84.69048749999999 -7.032927777777778 390.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-140-B 5 38 46.274 - 7 1 53.62 0.5 137.2 I 511.2 29.8 "" "" 130.4 7.6 "" "" 2.7 "" "" "" "" "" dn 84.69280833333332 -7.031561111111111 HOPS-140 101.527 5.912 1.54 0.23 1.54 0.58 72.2 84.69280833333332 -7.031561111111111 390.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-140-C 5 38 46.282 - 7 1 51.38 0.5 137.2 I 44.8 10.9 "" "" 4.7 0.9 "" "" 158.15 "" "" "" "" "" dn 84.69284166666665 -7.030938888888889 HOPS-140 3.679 0.666 2.075 0.24 0.14 0.06 2.8 84.69284166666665 -7.030938888888889 390.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-141 "" "" 0.0 "" "" "" 0.0 0.1 741.6 Flat "" "" "" "" 1.2 "" "" "" "" "" "" "" "" "" un "" "" HOPS-141 "" "" "" 0.2 "" "" "" "" "" 390.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-142 "" "" 0.0 "" "" "" 0.0 0.0 231.8 I "" "" "" "" 2.0 "" "" "" "" "" "" "" "" "" un "" "" HOPS-142 "" "" "" 0.2 "" "" "" "" "" 390.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-143 5 38 46.193 - 7 0 48.47 3.7 242.1 I 15.2 10.0 "" "" 11.1 0.3 "" "" 47.42 "" "" "" "" "" dn 84.69247083333332 -7.0134638888888885 HOPS-143 15.634 0.477 14.038 0.25 0.05 0.02 25.8 84.69247083333332 -7.0134638888888885 390.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-144 5 38 45.024 - 7 1 1.69 1.9 99.2 I 31.8 10.0 "" "" 16.1 0.5 "" "" 34.02 "" "" "" "" "" dn 84.6876 -7.017136111111111 HOPS-144 18.545 0.57 12.585 0.23 0.1 0.05 101.7 84.6876 -7.017136111111111 390.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-145-A 5 38 43.851 - 7 1 13.1 1.8 133.7 I 51.0 10.0 "" "" 31.5 0.6 "" "" 15.7 "" "" "" "" "" dn 84.6827125 -7.020305555555556 HOPS-145 35.934 0.717 18.415 0.24 0.15 0.05 40.9 84.6827125 -7.020305555555556 390.2 "" "" "" "" "" "" "" "" "" "" ""
