Source RAh RAm RAs DE- DEd DEm DEs Lbol Tbol Class RdiskA e_RdiskA RdiskV e_RdiskV MdiskA e_MdiskA MdiskV e_MdiskV QALMA QVLA SpIdxAV e_SpIdxAV SpIdxV e_SpIdxV Flag RA_deg DEC_deg FieldA A_Flux A_e_Flux A_PFlux A_RMS A_dBmaj A_dBmin A_dPA A_RA_deg A_DEC_deg DistanceA FieldV V_Flux V_e_Flux V_PFlux V_RMS V_dBmaj V_dBmin V_dPA V_RA_deg V_DEC_deg DistanceV
HOPS-282-A 5 40 26.091 - 7 37 32.08 0.8 95.1 I 15.8 10.0 "" "" 13.5 0.6 "" "" 61.16 "" "" "" "" "" dn 85.10871250000001 -7.625577777777778 HOPS-282 10.648 0.504 9.254 0.26 0.04 0.03 113.4 85.10871250000001 -7.625577777777778 414.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-282-B 5 40 26.08 - 7 37 32.1 0.8 95.1 I "" "" "" "" 2.4 0.6 "" "" "" "" "" "" "" "" dn 85.10866666666668 -7.625583333333334 HOPS-282 1.881 0.439 1.938 0.26 0.0 0.0 0.0 85.10866666666668 -7.625583333333334 414.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-284 5 38 51.499 - 8 1 27.46 0.6 913.9 Flat 50.4 10.0 "" "" 30.7 1.2 "" "" 22.03 "" "" "" "" "" dn 84.71457916666667 -8.024294444444445 HOPS-284 24.032 0.953 10.101 0.28 0.15 0.09 176.4 84.71457916666667 -8.024294444444445 403.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-285 "" "" 0.0 "" "" "" 0.0 0.1 66.5 0 "" "" "" "" 1.5 "" "" "" "" "" "" "" "" "" un "" "" HOPS-285 "" "" "" 0.23 "" "" "" "" "" 407.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-286 "" "" 0.0 "" "" "" 0.0 0.5 123.7 I "" "" "" "" 0.9 "" "" "" "" "" "" "" "" "" un "" "" HOPS-286 "" "" "" 0.23 "" "" "" "" "" 406.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-287 5 40 8.789 - 7 27 27.91 0.7 117.8 I 136.4 10.0 "" "" 129.1 3.1 "" "" 3.89 "" "" "" "" "" dn 85.03662083333334 -7.457752777777778 HOPS-287 102.187 2.497 20.343 0.41 0.39 0.14 58.8 85.03662083333334 -7.457752777777778 407.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-288-A-A 5 39 56.001 - 7 30 27.57 126.3 48.6 0 144.3 10.0 29.6 10.0 263.1 5.6 579.0 10.4 0.44 0.32 2.8 0.06 0.2 0.15 dd 84.9833375 -7.5076583333333335 HOPS-288 902.369 19.144 107.016 2.65 0.42 0.18 145.6 84.9833375 -7.5076583333333335 405.5 HOPS-288 1.338 0.024 0.677 7.3 0.09 0.07 99.7 84.98333333333333 -7.507666666666666 405.5
HOPS-288-A-B 5 39 56.006 - 7 30 27.7 126.3 48.6 0 "" "" 34.8 10.0 "" "" 231.5 10.4 "" 0.78 "" "" 2.3 0.39 nd 84.98335833333334 -7.507694444444445 "" "" "" "" "" "" "" "" "" "" "" HOPS-288 0.535 0.024 0.307 7.3 0.1 0.06 135.9 84.98335833333334 -7.507694444444445 405.5
HOPS-288-B 5 39 56.033 - 7 30 27.96 126.3 48.6 0 76.1 10.0 37.9 10.0 45.7 3.1 180.4 10.8 3.01 0.99 2.5 0.07 1.6 0.5 dd 84.98347083333333 -7.507766666666667 HOPS-288 156.674 10.667 54.634 2.67 0.22 0.1 121.2 84.98347083333333 -7.507766666666667 405.5 HOPS-288 0.417 0.025 0.184 7.31 0.11 0.05 126.2 84.983475 -7.507772222222222 405.5
HOPS-29 5 34 49.043 - 5 41 42.4 1.7 148.2 I 22.6 10.0 "" "" 25.7 0.6 173.9 12.0 23.8 "" 2.3 0.06 2.8 0.44 dd 83.70434583333333 -5.695111111111111 HOPS-29 28.577 0.666 20.794 0.29 0.07 0.06 172.5 83.70434583333333 -5.695111111111111 390.6 HOPS-28 0.145 0.007 0.13 11.25 0.0 0.0 0.0 83.70434583333333 -5.695108333333334 390.6
HOPS-290-A 5 39 57.377 - 7 29 33.1 1.7 47.3 0 34.8 10.0 14.5 10.0 26.3 1.0 175.4 17.9 20.85 3.55 2.3 0.08 1.9 0.91 dd 84.98907083333334 -7.492527777777778 HOPS-290 27.44 1.016 16.016 0.36 0.1 0.09 8.0 84.98907083333334 -7.492527777777778 405.5 HOPS-290 0.137 0.014 0.116 7.2 0.04 0.02 57.3 84.98907500000001 -7.492533333333333 405.5
HOPS-290-B 5 39 57.329 - 7 29 32.71 1.7 47.3 0 173.2 10.0 "" "" 66.3 2.2 44.8 9.0 5.4 "" 3.2 0.11 3.7 1.56 dd 84.98887083333334 -7.492419444444445 HOPS-290 69.138 2.252 9.97 0.36 0.5 0.11 137.7 84.98887083333334 -7.492419444444445 405.5 HOPS-290 0.035 0.007 0.025 7.21 0.0 0.0 0.0 84.98887083333334 -7.4924333333333335 405.5
HOPS-291 5 39 57.954 - 7 28 57.62 0.1 340.1 Flat 31.0 10.0 "" "" 36.1 1.6 70.0 "" 40.4 "" "" "" "" "" du 84.99147500000001 -7.482672222222222 HOPS-291 14.549 0.644 9.429 0.26 0.09 0.06 153.7 84.99147500000001 -7.482672222222222 405.5 HOPS-290 "" "" "" 14.89 "" "" "" 84.99147500000001 -7.482672222222222 405.5
HOPS-294 5 40 51.733 - 2 26 49.02 2.6 606.8 Flat 38.0 10.7 "" "" 2.4 0.4 "" "" 200.08 "" "" "" "" "" dn 85.21555416666668 -2.44695 HOPS-294 2.79 0.489 2.047 0.22 0.11 0.01 6.3 85.21555416666668 -2.44695 406.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-295 5 41 28.961 - 2 23 19.56 0.3 86.6 I "" "" "" "" 5.8 0.6 "" "" "" "" "" "" "" "" dn 85.37067083333334 -2.3887666666666667 HOPS-295 3.48 0.386 3.438 0.22 0.0 0.0 0.0 85.37067083333334 -2.3887666666666667 407.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-297 5 41 23.294 - 2 17 35.79 0.2 274.9 I 64.4 18.4 "" "" 5.9 1.3 114.8 "" 159.49 "" "" "" "" "" du 85.34705833333334 -2.293275 HOPS-297 3.053 0.661 1.612 0.21 0.19 0.07 173.2 85.34705833333334 -2.293275 407.8 HOPS-399 "" "" "" 34.16 "" "" "" 85.34705833333334 -2.293275 407.9
HOPS-298-A 5 41 37.192 - 2 17 17.35 29.4 169.3 I 65.2 10.0 "" "" 121.8 2.5 "" "" 1.74 "" "" "" "" "" dn 85.40496666666667 -2.2881527777777775 HOPS-298 278.637 5.822 95.056 1.4 0.19 0.12 3.1 85.40496666666667 -2.2881527777777775 408.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-298-B 5 41 37.04 - 2 17 18.01 29.4 169.3 I 37.1 10.0 "" "" 37.5 1.9 "" "" 6.47 "" "" "" "" "" dn 85.40433333333334 -2.288336111111111 HOPS-298 85.833 4.287 43.825 1.46 0.11 0.11 15.4 85.40433333333334 -2.288336111111111 408.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-299 5 41 44.61 - 2 16 6.63 18.6 277.0 I 46.2 12.8 "" "" 2.5 0.4 "" "" 105.23 "" "" "" "" "" dn 85.43587500000001 -2.268508333333333 HOPS-299 5.005 0.86 3.272 0.31 0.13 0.09 135.2 85.43587500000001 -2.268508333333333 408.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-3 5 54 56.963 + 1 42 56.23 0.4 467.5 Flat 123.1 10.0 "" "" 44.8 1.6 "" "" 13.98 "" "" "" "" "" dn 88.73734583333334 1.7156194444444444 HOPS-3 39.488 1.456 9.283 0.28 0.41 0.09 36.8 88.73734583333334 1.7156194444444444 351.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-30 5 34 44.055 - 5 41 25.84 3.3 81.2 I 41.8 10.0 "" "" 84.8 1.5 219.9 31.8 5.13 "" 2.7 0.06 1.1 0.25 dd 83.68356250000001 -5.690511111111111 HOPS-30 115.088 2.019 56.273 0.64 0.13 0.08 139.9 83.68356250000001 -5.690511111111111 390.6 HOPS-28 0.218 0.007 0.221 35.63 0.0 0.0 0.0 83.68355833333332 -5.690511111111111 390.6
HOPS-300 5 41 24.212 - 2 16 6.66 0.7 93.7 I 35.7 10.0 "" "" 6.5 0.7 "" "" 108.35 "" "" "" "" "" dn 85.35088333333334 -2.2685166666666667 HOPS-300 5.188 0.565 3.644 0.22 0.1 0.08 101.7 85.35088333333334 -2.2685166666666667 407.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-303 5 42 2.649 - 2 7 45.98 1.4 43.2 0 82.9 10.0 33.1 10.0 206.8 4.4 926.8 33.0 2.27 0.61 2.4 0.06 1.9 0.31 dd 85.5110375 -2.129438888888889 HOPS-303 199.125 4.296 46.296 0.77 0.24 0.19 164.0 85.5110375 -2.129438888888889 410.0 HOPS-303 0.674 0.024 0.368 7.7 0.1 0.04 80.2 85.5110375 -2.1294333333333335 410.0
HOPS-304-A 5 41 45.954 - 1 56 26.59 4.0 354.9 Flat 17.4 10.0 "" "" 18.8 0.5 "" "" 26.62 "" "" "" "" "" dn 85.441475 -1.9407194444444444 HOPS-304 24.595 0.644 20.656 0.32 0.05 0.04 37.7 85.441475 -1.9407194444444444 409.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-304-B 5 41 45.912 - 1 56 26.8 4.0 354.9 Flat 12.2 10.0 "" "" 10.0 0.5 "" "" 53.89 "" "" "" "" "" dn 85.4413 -1.9407777777777777 HOPS-304 13.098 0.59 12.04 0.32 0.04 0.03 133.2 85.4413 -1.9407777777777777 409.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-305 5 41 45.386 - 1 51 56.82 0.9 300.7 Flat 46.3 10.0 "" "" 46.8 1.3 "" "" 13.11 "" "" "" "" "" dn 85.43910833333334 -1.8657833333333333 HOPS-305 39.968 1.117 17.898 0.32 0.13 0.12 51.6 85.43910833333334 -1.8657833333333333 409.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-310 5 42 27.677 - 1 20 1.33 13.5 51.8 0 101.3 10.0 32.4 10.0 263.8 5.3 1174.8 18.3 0.88 0.27 2.5 0.06 1.6 0.13 dd 85.61532083333334 -1.3337027777777777 HOPS-310 473.562 9.551 99.701 1.68 0.29 0.15 45.7 85.61532083333334 -1.3337027777777777 414.3 HOPS-310 1.48 0.023 0.761 7.3 0.09 0.07 34.1 85.61532083333334 -1.333688888888889 414.3
HOPS-311 5 43 3.056 - 1 16 29.32 2.8 383.0 Flat 61.5 10.0 "" "" 59.9 1.4 "" "" 6.94 "" "" "" "" "" dn 85.76273333333334 -1.2748111111111111 HOPS-311 68.189 1.558 25.92 0.41 0.17 0.11 43.2 85.76273333333334 -1.2748111111111111 416.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-312-A 5 43 5.69 - 1 15 54.59 0.7 46.7 0 24.0 10.0 17.3 10.0 31.5 0.8 284.9 18.4 24.49 2.63 2.1 0.07 2.5 0.56 dd 85.77370833333335 -1.265163888888889 HOPS-312 24.111 0.652 18.569 0.3 0.07 0.05 117.8 85.77370833333335 -1.265163888888889 416.3 HOPS-312 0.17 0.011 0.137 5.3 0.05 0.02 116.0 85.77370833333335 -1.2651611111111112 416.3
HOPS-312-B 5 43 5.705 - 1 15 54.83 0.7 46.7 0 27.9 10.0 22.3 10.0 12.2 0.9 177.6 21.8 60.94 4.04 1.9 0.09 0.9 0.99 dd 85.77377083333333 -1.2652305555555556 HOPS-312 9.371 0.667 6.978 0.3 0.08 0.05 139.9 85.77377083333333 -1.2652305555555556 416.3 HOPS-312 0.106 0.013 0.074 5.3 0.06 0.05 2.6 85.77376666666666 -1.2652277777777778 416.3
HOPS-315 5 46 3.635 - 0 14 49.56 6.4 180.3 I 45.6 10.0 "" "" 105.6 2.0 "" "" 3.33 "" "" "" "" "" dn 86.51514583333334 -0.24710000000000001 HOPS-315 145.383 2.773 67.366 0.82 0.13 0.12 165.0 86.51514583333334 -0.24710000000000001 426.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-316 "" "" 0.0 "" "" "" 0.0 4.3 55.2 0 "" "" "" "" 0.6 "" 28.7 "" "" "" "" "" "" "" uu "" "" HOPS-316 "" "" "" 0.26 "" "" "" "" "" 426.8 HOPS-316-358 "" "" "" 8.53 "" "" "" "" "" 426.8
HOPS-317-A 5 46 8.597 - 0 10 38.49 4.9 47.5 0 34.5 10.0 70.0 17.4 51.6 1.8 186.1 42.4 7.87 1.96 2.5 0.12 1.6 1.78 dd 86.53582083333333 -0.1773583333333333 HOPS-317 65.688 2.267 41.368 0.84 0.1 0.09 48.3 86.53582083333333 -0.1773583333333333 427.1 HOPS-317 0.171 0.039 0.066 8.2 0.19 0.07 113.8 86.5358125 -0.17735277777777778 427.1
HOPS-317-B 5 46 8.376 - 0 10 43.65 4.9 47.5 0 269.1 10.0 77.3 10.0 1058.6 14.0 2353.7 57.4 0.22 0.15 2.8 0.06 2.6 0.21 dd 86.53490000000001 -0.17879166666666665 HOPS-317 1348.63 13.055 57.405 1.15 0.74 0.52 92.2 86.53490000000001 -0.17879166666666665 427.1 HOPS-317 2.163 0.052 0.479 8.32 0.21 0.14 133.7 86.53491249999999 -0.1788111111111111 427.1
HOPS-318 5 46 13.521 - 0 8 55.93 0.2 312.6 Flat "" "" "" "" 3.3 0.5 "" "" "" "" "" "" "" "" dn 86.5563375 -0.14886944444444444 HOPS-318 1.445 0.217 1.103 0.22 0.0 0.0 0.0 86.5563375 -0.14886944444444444 427.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-319 "" "" 0.0 "" "" "" 0.0 0.0 464.2 I "" "" "" "" 2.2 "" "" "" "" "" "" "" "" "" un "" "" HOPS-319 "" "" "" 0.21 "" "" "" "" "" 427.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-32-A 5 34 35.454 - 5 39 59.33 1.7 58.9 0 35.2 10.0 "" "" 19.7 0.6 126.8 21.3 27.72 "" 2.3 0.1 2.3 1.55 dd 83.647725 -5.666480555555556 HOPS-32 22.196 0.72 13.756 0.27 0.11 0.06 52.5 83.647725 -5.666480555555556 390.6 HOPS-32 0.107 0.018 0.083 8.3 0.0 0.0 0.0 83.64771666666667 -5.666477777777778 390.6
HOPS-32-B 5 34 35.432 - 5 39 59.58 1.7 58.9 0 51.1 10.0 58.1 15.9 12.4 0.9 145.7 30.8 40.28 3.36 2.0 0.11 -0.1 1.74 dd 83.64763333333332 -5.66655 HOPS-32 13.967 1.012 6.303 0.27 0.15 0.11 68.5 83.64763333333332 -5.66655 390.6 HOPS-32 0.123 0.026 0.059 8.3 0.17 0.04 163.5 83.64762083333333 -5.666552777777778 390.6
HOPS-320 5 46 14.212 - 0 5 26.81 0.5 87.0 I 62.1 12.0 "" "" 9.1 1.2 "" "" 78.67 "" "" "" "" "" dn 86.55921666666666 -0.09078055555555554 HOPS-320 5.68 0.763 2.908 0.22 0.17 0.12 56.2 86.55921666666666 -0.09078055555555554 427.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-321 5 46 33.172 + 0 0 2.03 3.9 78.6 I 108.8 30.2 18.9 10.0 4.5 1.1 58.1 10.5 71.33 8.33 2.0 0.14 3.4 1.46 dd 86.63821666666666 0.0005638888888888888 HOPS-321 5.38 1.318 1.287 0.23 0.3 0.22 59.1 86.63821666666666 0.0005638888888888888 428.4 HOPS-321 0.05 0.009 0.04 7.1 0.05 0.03 139.1 86.6382 0.0005694444444444444 428.4
HOPS-322 5 46 46.517 + 0 0 16.09 0.5 71.3 I 63.7 10.0 "" "" 31.1 1.1 172.2 23.1 22.15 "" 2.3 0.08 2.3 1.09 dd 86.69382083333333 0.004469444444444444 HOPS-322 19.994 0.721 9.667 0.24 0.17 0.06 105.8 86.69382083333333 0.004469444444444444 428.3 HOPS-389 0.088 0.011 0.065 10.3 0.0 0.0 0.0 86.69380833333334 0.0044666666666666665 428.4
HOPS-323-A 5 46 47.697 + 0 0 25.27 10.3 82.9 I 25.5 10.0 13.1 10.0 28.6 0.5 214.5 18.0 12.38 1.88 2.2 0.07 2.3 0.69 dd 86.6987375 0.0070194444444444445 HOPS-323 44.475 0.754 34.101 0.34 0.07 0.05 30.9 86.6987375 0.0070194444444444445 428.4 HOPS-389 0.236 0.019 0.198 10.01 0.04 0.01 51.4 86.69872916666667 0.0070194444444444445 428.4
HOPS-323-B 5 46 47.667 + 0 0 24.81 10.3 82.9 I 108.0 10.0 14.6 13.1 52.2 1.0 90.9 18.0 4.73 4.35 2.9 0.1 4.5 1.73 dd 86.6986125 0.006891666666666667 HOPS-323 81.351 1.484 23.04 0.34 0.3 0.08 50.7 86.6986125 0.006891666666666667 428.4 HOPS-389 0.1 0.019 0.081 9.98 0.04 0.03 130.4 86.6986 0.006886111111111111 428.4
HOPS-324 5 46 37.566 + 0 0 33.83 2.3 89.9 I "" "" "" "" 2.6 0.2 90.1 "" "" "" "" "" "" "" du 86.656525 0.009397222222222222 HOPS-324 2.706 0.241 2.063 0.24 0.0 0.0 0.0 86.656525 0.009397222222222222 428.4 HOPS-325 "" "" "" 63.06 "" "" "" 86.656525 0.009397222222222222 428.5
HOPS-325 5 46 39.199 + 0 1 12.31 6.5 49.2 0 34.9 10.0 19.3 10.0 58.6 1.1 247.4 17.4 6.39 1.71 2.5 0.07 2.2 0.65 dd 86.66332916666667 0.02008611111111111 HOPS-325 80.096 1.462 48.843 0.56 0.1 0.09 119.0 86.66332916666667 0.02008611111111111 428.5 HOPS-325 0.242 0.017 0.199 8.13 0.05 0.03 65.7 86.66332083333333 0.020077777777777778 428.5
HOPS-326 5 46 39.554 + 0 4 16.87 0.6 58.8 0 "" "" "" "" 2.5 0.3 55.1 "" "" "" "" "" "" "" du 86.66480833333333 0.07135277777777778 HOPS-326 1.653 0.213 1.404 0.21 0.0 0.0 0.0 86.66480833333333 0.07135277777777778 428.8 HOPS-326 "" "" "" 9.7 "" "" "" 86.66480833333333 0.07135277777777778 428.8
HOPS-329 5 47 1.601 + 0 17 58.92 2.6 89.2 I 58.8 13.9 "" "" 4.8 0.8 "" "" 90.31 "" "" "" "" "" dn 86.75667083333333 0.29969999999999997 HOPS-329 4.96 0.88 2.638 0.24 0.16 0.11 18.6 86.75667083333333 0.29969999999999997 430.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-33 "" "" 0.0 "" "" "" 0.0 0.1 777.6 Flat "" "" "" "" 1.4 "" "" "" "" "" "" "" "" "" un "" "" HOPS-33 "" "" "" 0.21 "" "" "" "" "" 390.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-331 5 46 28.337 + 0 19 49.33 0.4 82.5 Flat 27.4 10.0 "" "" 39.0 1.1 137.5 18.4 23.96 "" 2.5 0.08 3.1 0.96 dd 86.61807083333333 0.33036944444444444 HOPS-331 22.393 0.655 15.958 0.28 0.07 0.06 30.0 86.61807083333333 0.33036944444444444 430.3 HOPS-407 0.064 0.007 0.06 8.44 0.0 0.0 0.0 86.61806666666666 0.3303611111111111 419.1
HOPS-333 "" "" 0.0 "" "" "" 0.0 0.2 240.9 Flat "" "" "" "" 1.3 "" 82.6 "" "" "" "" "" "" "" uu "" "" HOPS-333 "" "" "" 0.21 "" "" "" "" "" 429.6 HOPS-359 "" "" "" 16.31 "" "" "" "" "" 429.4
HOPS-334 "" "" 0.0 "" "" "" 0.0 0.1 506.7 Flat "" "" "" "" 2.0 "" "" "" "" "" "" "" "" "" un "" "" HOPS-334 "" "" "" 0.23 "" "" "" "" "" 430.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-335 "" "" 0.0 "" "" "" 0.0 0.5 81.1 I "" "" "" "" 1.1 "" "" "" "" "" "" "" "" "" un "" "" HOPS-335 "" "" "" 0.22 "" "" "" "" "" 430.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-336 5 46 2.278 + 0 23 30.6 0.0 164.6 I "" "" "" "" 4.8 0.9 "" "" "" "" "" "" "" "" dn 86.50949166666666 0.39183333333333337 HOPS-336 1.125 0.217 1.002 0.22 0.0 0.0 0.0 86.50949166666666 0.39183333333333337 430.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-337 5 46 55.092 + 0 23 34.55 0.9 128.8 I 34.4 10.0 9.1 10.0 39.5 1.0 247.9 24.1 16.71 3.04 2.3 0.07 5.4 0.5 dd 86.72955 0.39293055555555556 HOPS-337 30.441 0.762 20.724 0.32 0.09 0.05 45.6 86.72955 0.39293055555555556 430.7 HOPS-338 0.147 0.008 0.119 13.38 0.03 0.02 145.4 86.72954583333333 0.39293055555555556 430.7
HOPS-338-A 5 46 57.356 + 0 23 50.43 0.2 53.7 0 24.5 10.0 "" "" 19.0 1.0 57.6 "" 58.79 "" "" "" "" "" du 86.73898333333334 0.3973416666666667 HOPS-338 9.343 0.506 7.308 0.24 0.07 0.04 15.6 86.73898333333334 0.3973416666666667 430.7 HOPS-338 "" "" "" 7.9 "" "" "" 86.73898333333334 0.3973416666666667 430.7
HOPS-338-B 5 46 57.302 + 0 23 57.97 0.2 53.7 0 153.3 10.0 94.4 24.5 93.9 4.1 435.2 102.1 7.45 1.75 2.4 0.12 -0.1 2.01 dd 86.73875833333332 0.39943611111111116 HOPS-338 46.137 1.197 9.36 0.41 0.42 0.08 9.1 86.73875833333332 0.39943611111111116 430.7 HOPS-338 0.179 0.041 0.047 7.79 0.26 0.12 2.9 86.73876249999999 0.3994444444444445 430.7
HOPS-340 5 47 1.311 + 0 26 23.04 1.9 40.6 0 41.7 10.0 22.0 10.0 59.9 1.0 550.6 29.6 8.47 1.02 2.1 0.07 1.9 0.49 dd 86.7554625 0.43973333333333336 HOPS-340 57.346 0.95 36.013 0.37 0.11 0.07 99.7 86.7554625 0.43973333333333336 430.9 HOPS-340-341 0.393 0.021 0.283 9.05 0.06 0.05 86.8 86.7554625 0.43973333333333336 430.9
HOPS-341 5 47 0.914 + 0 26 21.49 2.2 39.4 0 54.5 10.0 27.8 10.0 28.3 1.1 185.2 25.9 16.27 2.83 2.3 0.09 2.2 1.18 dd 86.75380833333332 0.4393027777777778 HOPS-341 27.966 1.057 15.584 0.35 0.15 0.09 145.8 86.75380833333332 0.4393027777777778 430.9 HOPS-340-341 0.136 0.019 0.11 9.02 0.08 0.0 172.5 86.75380416666667 0.4393027777777778 430.9
HOPS-342 5 47 57.108 + 0 35 27.12 0.3 312.6 I "" "" "" "" 2.3 0.4 67.5 "" "" "" "" "" "" "" du 86.98795 0.5908666666666667 HOPS-342 1.335 0.214 0.948 0.22 0.0 0.0 0.0 86.98795 0.5908666666666667 427.8 HOPS-343 "" "" "" 14.94 "" "" "" 86.98795 0.5908666666666667 427.6
HOPS-343 5 47 59.041 + 0 35 32.83 4.1 82.1 I 55.9 10.0 33.4 10.0 5.7 0.6 95.0 18.3 66.71 4.57 1.9 0.11 0.2 1.71 dd 86.99600416666667 0.5924527777777778 HOPS-343 6.883 0.716 3.852 0.23 0.15 0.11 120.8 86.99600416666667 0.5924527777777778 427.6 HOPS-343 0.083 0.016 0.045 7.3 0.09 0.07 2.9 86.99600416666667 0.5924555555555556 427.6
HOPS-344 5 47 24.735 + 0 37 34.83 0.1 408.2 I 138.1 23.1 "" "" 15.9 2.4 "" "" 59.72 "" "" "" "" "" dn 86.8530625 0.6263416666666667 HOPS-344 5.916 0.886 1.698 0.23 0.38 0.04 66.3 86.8530625 0.6263416666666667 431.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-345 5 47 38.966 + 0 38 36.21 0.5 219.4 I 124.7 10.0 "" "" 107.9 3.0 "" "" 5.34 "" "" "" "" "" dn 86.91235833333333 0.6433916666666666 HOPS-345 68.325 1.904 18.273 0.35 0.34 0.13 81.8 86.91235833333333 0.6433916666666666 430.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-346 "" "" 0.0 "" "" "" 0.0 0.3 649.5 Flat "" "" "" "" 1.3 "" "" "" "" "" "" "" "" "" un "" "" HOPS-346 "" "" "" 0.22 "" "" "" "" "" 430.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-347 5 47 15.947 + 0 21 22.89 0.6 33.5 0 42.4 10.0 22.7 10.0 33.6 1.1 291.3 32.6 21.87 2.63 2.1 0.08 2.2 1.02 dd 86.81644583333333 0.35635833333333333 HOPS-347 22.187 0.719 13.771 0.28 0.12 0.04 43.0 86.81644583333333 0.35635833333333333 430.2 HOPS-347 0.152 0.017 0.115 7.91 0.06 0.02 49.4 86.81644166666668 0.3563611111111111 430.2
HOPS-350 "" "" 0.0 "" "" "" 0.0 0.5 57.3 I "" "" "" "" 0.9 "" 43.7 "" "" "" "" "" "" "" uu "" "" HOPS-350 "" "" "" 0.23 "" "" "" "" "" 392.8 HOPS-350 "" "" "" 8.8 "" "" "" "" "" 392.8
HOPS-354 5 54 24.262 + 1 44 19.91 4.7 34.8 0 24.4 10.0 23.2 10.0 30.3 0.6 1446.2 13.0 14.69 0.31 1.4 0.06 0.5 0.07 dd 88.60109166666668 1.738863888888889 HOPS-354 54.969 1.08 39.974 0.45 0.08 0.07 158.6 88.60109166666668 1.738863888888889 355.4 HOPS-354 1.898 0.017 1.385 7.7 0.08 0.03 61.3 88.6010875 1.7388611111111112 355.4
HOPS-355 5 37 17.123 - 6 49 49.12 1.0 44.9 0 26.2 10.0 23.3 10.8 16.6 0.7 152.0 24.0 41.46 4.35 2.1 0.09 3.4 1.42 dd 84.32134583333334 -6.8303111111111106 HOPS-355 16.262 0.652 11.228 0.27 0.08 0.07 6.4 84.32134583333334 -6.8303111111111106 385.8 HOPS-355 0.114 0.018 0.091 8.7 0.07 0.04 127.1 84.32134583333334 -6.830313888888889 385.8
HOPS-357-A 5 41 39.128 - 1 52 7.45 14.3 628.2 Flat 43.1 10.0 "" "" 65.2 1.3 "" "" 4.38 "" "" "" "" "" dn 85.41303333333335 -1.8687361111111112 HOPS-357 121.808 2.37 62.398 0.78 0.12 0.09 30.2 85.41303333333335 -1.8687361111111112 409.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-357-B 5 41 39.143 - 1 52 7.29 14.3 628.2 Flat 19.5 10.0 "" "" 15.9 0.9 "" "" 21.58 "" "" "" "" "" dn 85.41309583333334 -1.8686916666666666 HOPS-357 29.634 1.618 23.941 0.78 0.06 0.04 23.2 85.41309583333334 -1.8686916666666666 409.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-358-A 5 46 7.257 - 0 13 30.22 25.8 41.7 0 136.3 10.0 42.4 10.0 110.7 1.0 385.4 17.3 1.62 0.68 2.6 0.06 1.6 0.38 dd 86.5302375 -0.22506111111111113 HOPS-358 223.772 2.057 48.688 0.42 0.38 0.1 81.2 86.5302375 -0.22506111111111113 426.8 HOPS-316-358 0.539 0.024 0.305 8.57 0.12 0.03 66.0 86.53022916666667 -0.2250638888888889 426.8
HOPS-358-B 5 46 7.331 - 0 13 43.5 25.8 41.7 0 104.0 10.0 62.0 10.0 205.9 9.3 640.0 39.8 0.94 0.38 2.6 0.06 2.6 0.51 dd 86.53054583333332 -0.22875 HOPS-358 416.326 2.891 65.756 2.74 0.29 0.27 127.0 86.53054583333332 -0.22875 426.8 HOPS-316-358 0.895 0.049 0.248 9.65 0.17 0.15 139.9 86.53054166666666 -0.22875277777777778 426.8
HOPS-359 5 47 24.84 + 0 20 59.39 10.5 36.7 0 62.0 10.0 21.2 10.0 89.8 2.0 216.4 17.3 3.17 1.71 2.7 0.07 2.5 0.76 dd 86.8535 0.34983055555555553 HOPS-359 139.951 3.176 54.471 0.75 0.17 0.15 3.6 86.8535 0.34983055555555553 429.4 HOPS-359 0.238 0.019 0.171 8.2 0.06 0.04 10.8 86.8535 0.34983055555555553 429.4
